row_id,date,student_ref,service_key,service_type,provider_role,minutes_delivered,status
SL-00221,2026-08-17,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00222,2026-08-18,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00223,2026-08-19,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00224,2026-08-20,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00225,2026-08-21,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00226,2026-08-24,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00227,2026-08-25,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00228,2026-08-26,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00229,2026-08-27,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00230,2026-08-28,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00231,2026-08-31,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00232,2026-09-01,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00233,2026-09-02,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00234,2026-09-03,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00235,2026-09-04,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00236,2026-09-08,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00237,2026-09-09,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00238,2026-09-10,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00239,2026-09-11,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00240,2026-09-14,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00241,2026-09-15,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00242,2026-09-16,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00243,2026-09-17,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00244,2026-09-18,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00245,2026-09-21,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00246,2026-09-22,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00247,2026-09-23,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00248,2026-09-24,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00249,2026-09-25,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00250,2026-09-28,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00251,2026-09-29,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00252,2026-09-30,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00253,2026-10-01,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00254,2026-10-02,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00255,2026-10-05,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00256,2026-10-06,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00257,2026-10-07,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00258,2026-10-08,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00259,2026-10-13,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00260,2026-10-14,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00261,2026-10-15,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00262,2026-10-16,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00263,2026-10-19,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00264,2026-10-20,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00265,2026-10-21,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00266,2026-10-22,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00267,2026-10-23,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00268,2026-10-26,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00269,2026-10-27,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00270,2026-10-28,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00271,2026-10-29,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00272,2026-10-30,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00273,2026-11-02,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00274,2026-11-03,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00275,2026-11-04,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00276,2026-11-05,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00277,2026-11-06,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00278,2026-11-09,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00279,2026-11-10,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00280,2026-11-12,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00281,2026-11-13,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00282,2026-11-16,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00283,2026-11-17,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00284,2026-11-18,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00285,2026-11-19,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00286,2026-11-20,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00287,2026-11-23,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00288,2026-11-24,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00289,2026-11-30,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00290,2026-12-01,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00291,2026-12-02,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00292,2026-12-03,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00293,2026-12-04,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00294,2026-12-07,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00295,2026-12-08,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00296,2026-12-09,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00297,2026-12-10,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00298,2026-12-11,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00299,2026-12-14,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00300,2026-12-15,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00301,2026-12-16,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00302,2026-12-17,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
SL-00303,2026-12-18,RIV-1006,sai-math,Specialized academic instruction (mathematics),Special education teacher,30,delivered
